id,problem_hypothesis,evidence_urls,likely_customer,current_workaround,expected_frequency,confidence
1,Leads and support inquiries split across WhatsApp chats,[WA business report](https://whatsappbusiness.com/resources/resource-library/state-of-business-messaging/),Retail/service owner,"Personal phones, pinned chats",Daily,Low—cross-reference locally
2,No shared inbox or owner of unanswered WhatsApp messages,[WA business report](https://whatsappbusiness.com/resources/resource-library/state-of-business-messaging/),"Clinics, salons, home services",Staff hand-off in chat,Daily,Low
3,Slow follow-up after a quote or inquiry,[Mastercard Egypt](https://www.mastercard.com/news/eemea/en/newsroom/press-releases/en/2025-1/february/mastercard-sme-confidence-index-egyptian-smes-embrace-digital-payments-and-innovation-for-sustainable-growth),Sales-led SMEs,WhatsApp search/reminders,Daily,Low
4,Customer history is not visible to the next staff member,[OECD report](https://www.oecd.org/content/dam/oecd/en/publications/reports/2025/04/sme-digitalisation-for-competitiveness_3116862a/197e3077-en.pdf),Multi-agent support teams,Chat exports and memory,Daily,Low
5,Booking requests are negotiated manually instead of using availability,[WA business report](https://whatsappbusiness.com/resources/resource-library/state-of-business-messaging/),"Clinics, salons, tour operators",Calendar plus chat,Daily,Low
6,Double-booking or missed appointment reminders,[OECD report](https://www.oecd.org/content/dam/oecd/en/publications/reports/2025/04/sme-digitalisation-for-competitiveness_3116862a/197e3077-en.pdf),Appointment businesses,Paper/phone calendar,Daily/weekly,Low
7,Rescheduling and cancellation follow-up is forgotten,[WA business report](https://whatsappbusiness.com/resources/resource-library/state-of-business-messaging/),Clinics and classes,Manual message templates,Weekly,Low
8,Branches cannot see one another's bookings,[Monsha'at lead](https://www.monshaat.gov.sa/sites/default/files/2024-11/DIGITAL_TRANSFORMATION%D9%80FOR%D9%80SMEs%D9%80%D9%80EN.pdf),Retail/service chains,Separate spreadsheets,Daily,Low—fetch/cross-reference
9,Central owner lacks a live branch workload view,[Monsha'at lead](https://www.monshaat.gov.sa/sites/default/files/2024-11/DIGITAL_TRANSFORMATION%D9%80FOR%D9%80SMEs%D9%80%D9%80EN.pdf),Growing Saudi/UAE chains,Calls and end-of-day reports,Daily,Low
10,Stock counts differ by branch/channel,[OECD report](https://www.oecd.org/content/dam/oecd/en/publications/reports/2025/04/sme-digitalisation-for-competitiveness_3116862a/197e3077-en.pdf),"Retail, food, pharmacies",Physical count + sheet,Daily/weekly,Low
11,Owner discovers stock-outs only after a sale,[OECD report](https://www.oecd.org/content/dam/oecd/en/publications/reports/2025/04/sme-digitalisation-for-competitiveness_3116862a/197e3077-en.pdf),Instagram/WhatsApp sellers,Ask staff to check shelves,Daily,Low
12,"Reordering is based on intuition, not a threshold",[OECD report](https://www.oecd.org/content/dam/oecd/en/publications/reports/2025/04/sme-digitalisation-for-competitiveness_3116862a/197e3077-en.pdf),Small retailers,Notes and supplier calls,Weekly,Low
