month,objective,priority_pages,content_and_sales_tasks,kpi
1,Instrument and validate,Search Console setup; 3 landing pages,baseline queries and lead sources; interview script,verified baseline and 5 interviews
2,Problem-language discovery,WhatsApp CRM for branches; booking follow-up,10 discovery calls; publish problem-led FAQ,10 qualified conversations
3,MVP waitlist,BranchFlow overview; shared inbox page,interactive demo; 3 design partners,3 signed validation commitments
4,First conversion,clinic and service-business pages,weekly demo; offer paid pilot,2 paid pilots
5,Proof,case-study template; ROI calculator,measure response time and follow-up,first quantified case study
6,Vertical pack,clinic booking and reminders,ship pack; partner with local implementer,4 paid pilots
7,Commerce pack,order-to-stock workflow page,retail and restaurant demos,5 active pilots
8,Compliance trust,ZATCA and privacy explainer pages,review data controls with counsel,organic impressions +20% vs baseline
9,Comparison demand,Odoo vs focused workflow; WATI vs workflow,comparison pages with transparent limitations,10 sales-qualified leads
10,Referral loop,partner page for accountants/agencies,referral playbook,2 active partners
11,Expansion,branch analytics and retention page,upsell second branch/automation,30% pilot expansion target (assumption)
12,Scale or stop,annual benchmark and pricing page,review unit economics and decide,12-month go/no-go review
