lead_id,name,segment,city,address,product_fit,whatsapp_url,facebook_url,instagram_url,phone,source_url,confidence,notes
1,Al Baraka Restaurant,مطعم ووجبات سريعة,Alexandria,"3 Sultan Hussein Street, intersection of Safia Zaghloul Street - El Raml Station",نظام المطاعم والطلبات والمنيو والتوصيل,https://wa.me/201001716566,,,,https://en.infoeg.com/alexandria/page/346912,مرتفع,رابط واتساب وFacebook ظاهران علنًا في سجل النشاط؛ بيانات الاتصال الأخرى مقنّعة.
2,Broasted Chicken Restaurant,مطعم ووجبات سريعة,Alexandria,Sidi Beshr Mosque Street in front of Electricity Company - Sidi Bishr,نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/346927,متوسط,نشاط تجاري مدرج علنًا؛ رقم الاتصال غير ظاهر كاملًا في المصدر.
3,Seven Days Crepe,مطعم ووجبات سريعة,Alexandria,16 Gamal Abdel Nasser Street - Sidi Bishr - Beside Taiba Hospital,نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/346892,متوسط,نشاط تجاري مدرج علنًا؛ رقم الاتصال غير ظاهر كاملًا في المصدر.
4,El Mahrousa Cafe,كافيه ومطعم,Alexandria,El Geish Road - Tabiyat Sidi Beshr - Inside El Mahrousa Hotel,نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/342319,متوسط,نشاط تجاري مدرج علنًا؛ رقم الاتصال غير ظاهر كاملًا في المصدر.
5,City Cafe,كافيه ومطعم,Alexandria,"21 Salah Salem Street, intersection with Sizostris Street - El Raml Station",نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/342389,متوسط,نشاط تجاري مدرج علنًا؛ رقم الاتصال غير ظاهر كاملًا في المصدر.
6,Mostafa Gad Restaurant Chain,سلسلة مطاعم,Alexandria,2 Mahmoud Azmy Street - Salah Salem Street - El Raml Station,نظام المطاعم متعدد الفروع والطلبات والتوصيل,,,,,https://en.infoeg.com/alexandria/page/346868,مرتفع,المصدر يصفه كسلسلة مطاعم؛ ملائم لنظام الفروع.
7,Baraka Prost,مطعم ووجبات سريعة,Alexandria,30 Radio Street - Glim,نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/346805,متوسط,نشاط تجاري مدرج علنًا؛ رقم الاتصال غير ظاهر كاملًا في المصدر.
8,The Damascene Baik,مطعم سوري,Alexandria,25 Prince Lulu Street - Mena Basal,نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/348173,متوسط,المصدر يصنفه مطعمًا سوريًا.
9,Santos Cafe And Restaurant,كافيه ومطعم,Alexandria,67 Safeya Zaghloul Street - El Raml Station,نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/341571,متوسط,نشاط تجاري مدرج علنًا.
10,Kababji Hamdy,مطعم مشويات,Alexandria,73 Khaled Ibn Al Waleed Street - Sidi Bishr,نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/341251,متوسط,المصدر يصنفه مطعم مشويات.
11,Muslim Sandwich,مطعم ووجبات سريعة,Alexandria,91 Khaled Bin Al Waleed Street - Sidi Bishr,نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/346907,متوسط,نشاط تجاري مدرج علنًا.
12,Shawarmania,مطعم ووجبات سريعة,Alexandria,Transportation and Engineering Street - Smouha - Inside Westfield Food Court,نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/346874,متوسط,نشاط داخل فود كورت؛ ملائم للطلبات الرقمية.
13,Madeira Restaurant And Cafe,كافيه ومطعم,Alexandria,Carrefour City Light - El Soyof - Next to Orange,نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/346231,متوسط,نشاط تجاري مدرج علنًا.
14,Sultan Pizza,مطعم بيتزا,Alexandria,66 Mortada Pasha Street - Gianaclis,نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/346814,متوسط,المصدر يصنفه مطعم بيتزا.
