id,country,organization_industry,public_signal,source_url_date,why_potential_need,likely_service,confidence
1,Saudi Arabia,Aramco Digital — enterprise technology,Joined TCCA; signed SANAD digital-transformation agreement; Cumulocity partnership.,https://www.aramcodigital.com/news / 12 Aug & 25 Feb 2026,Explicit transformation and platform partnerships.,"IoT integration, automation, enterprise software",**High**
2,Saudi Arabia,SANAD — industrial services,Named counterparty to Aramco Digital transformation agreement.,https://www.aramcodigital.com/news/news-article-2 / 12 Aug 2026,"Named implementation customer/partner, not a speculative prospect.","Workflow/asset systems, dashboards, integrations",**High**
3,Saudi Arabia,Aramco — energy,Announced Pasqal quantum-computing-as-a-service launch.,https://www.aramco.com/en/news-media/news/2026/aramco-and-pasqal-launch-saudi-arabias-first-quantum-computer / 18 May 2026,Public deployment of advanced compute creates software/data/AI integration demand.,"AI/analytics, cloud and data engineering",Medium
4,Saudi Arabia,Pasqal — quantum technology,Partner in Saudi quantum-computing service with Aramco.,Same Aramco newsroom URL / 18 May 2026,Named technology deployment and regional commercialisation.,"AI applications, APIs, developer tooling",Medium
5,Saudi Arabia,solutions by stc — ICT,Collaborating with Aramco on next-generation supercomputer.,https://www.aramco.com/en/news-media/news/2026/aramco-and-solutions-by-stc-collaborate-to-deploy-next-generation-supercomputer / 6 May 2026,Direct infrastructure deployment.,"Cloud, AI operations, automation",High
6,Saudi Arabia,Humain — AI,Government-backed AI/Arabic digital-services initiative reported as advancing paperless services.,https://www.pif.gov.sa/en/news-and-insights/press-releases/2025/pif-launches-humain-to-lead-ai-era/ / 13 May 2025,"AI and paperless service scale imply product, integration and Arabic UX work.","Arabic AI, portals, workflow automation",Medium
7,Saudi Arabia,Blue Yonder — supply-chain software,Named as a prime contractor driving AI supply-chain implementations in Saudi.,https://economymiddleeast.com/news/saudi-enterprises-integrate-ai-in-supply-chains/ / 2025,Implementation activity is direct evidence of enterprise software demand.,"Inventory/ERP, forecasting, automation",Medium
8,Saudi Arabia,Noon Saudi Arabia — e-commerce,Public technographics/customer record identifies software evaluation and digital-transformation initiatives.,https://www.appsruntheworld.com/customers-database/customers/view/noon-saudi-arabia-saudi-arabia / accessed 2026,"E-commerce scale requires catalogue, CRM, inventory and automation (third-party evidence).","E-commerce, inventory, CRM",Low–Medium
9,Saudi Arabia,"Ministry of Municipal, Rural Affairs & Housing (Balady) — government",Open competitions page lists 2025/26 procurement entries.,https://balady.gov.sa/ar/about-balady/tenders-and-procurement / accessed 2026,Official procurement channel; digital service vendors can monitor qualified bids.,"Government portals, forms, workflow",Medium
10,Saudi Arabia,Saudi Ministry of Finance / Etimad — government procurement,Etimad is the unified electronic government-procurement platform.,https://tenderimpulse.com/blog/foreign-bidders-guide-saudi-arabia-government-tenders-etimad/ / 2026,Regulation/process digitisation creates recurring tender and integration demand.,"Procurement automation, alerts, integrations",Medium
11,UAE,UAE Ministry of Economy & Tourism — government,Official Essential Goods Prices Platform includes Market Analysis Dashboard.,https://www.moet.gov.ae/en/essential-goods-prices-platform / accessed 2026,"Live price comparison needs retailer feeds, data quality, search and dashboards.","Inventory/catalogue integrations, analytics",**High**
12,UAE,UAE Space Agency — space/government,Launched digital platform for customer services; UAE PASS registration and application workflow.,https://space.gov.ae/en/media-center/news/9/10/2025/uae-space-agency-launches-innovative-digital-platform-for-customer-services-at-gitex-global-2025 / 10 Sep 2025,Named public launch proves demand for secure forms and case workflow.,"Website/portal, identity integration, automation",High
13,UAE,Dubai Chambers — business services,Launched Business in Dubai platform with 65 services across four categories.,https://cairoscene.com/Business/Dubai-Chambers-Launches-New-Business-Services-Platform / 11 Jul 2026,"Multi-service gateway implies ongoing CRM, workflow and service UX needs.","CRM, portals, workflow automation",Medium
14,UAE,Careem Pay — fintech/super-app,Expanded remittance service to Saudi Arabia and Türkiye.,https://techafricanews.com/2026/04/09/careem-pay-expands-remittance-service-to-saudi-arabia-and-turkiye/ / 9 Apr 2026,"Cross-border launch implies payments, compliance, customer support and integrations.","Fintech APIs, CRM, compliance automation",Medium
15,UAE,Careem — mobility/delivery,Parent platform’s cross-border service expansion (Careem Pay).,Same TechAfricaNews URL / 9 Apr 2026,Product expansion creates localisation and operational automation work.,"Booking, dispatch, CRM",Medium
16,UAE,A47 — media/AI startup,Raised $2m to build an AI-native news platform.,https://thestartupscene.me/INVESTMENTS/UAE-Based-A47-Raises-2M-to-Build-AI-Native-News-Platform / 2026,Fresh funding earmarked for a software product.,"AI product, website/platform, analytics",Medium
17,UAE,OpenCX — AI/customer experience,Raised $7m ahead of KSA expansion.,https://thestartupscene.me/INVESTMENTS/UAE-Based-AI-Startup-OpenCX-Raises-7M-Ahead-of-KSA-Expansion / 2026,Funding plus geographic expansion supports CX/CRM tooling demand.,"AI customer service, CRM automation",Medium
18,UAE,CNTXT AI — speech AI,Launched on-device Arabic speech-to-text (Munsit Edge).,https://thestartupscene.me/MENA-ECOSYSTEMS/UAE-Based-CNTXT-AI-Launches-On-Device-Arabic-Speech-to-Text-System / 2026,"Commercial AI launch requires Arabic UX, integrations and deployment support.","Arabic AI, transcription APIs",Medium
19,UAE,Ministry of Industry & Advanced Technology — government,Essential-goods price platform is a ministry-led market-information service.,https://www.moet.gov.ae/en/essential-goods-prices-platform / 2026,"Government data service implies monitoring, feeds and reporting automation.","Dashboards, data pipelines",Medium
20,UAE,Noon — e-commerce,Regional retailer/platform appears in public software-purchase/customer research.,https://www.appsruntheworld.com/customers-database/customers/view/noon-saudi-arabia-saudi-arabia / accessed 2026,E-commerce operations are structurally software-intensive; evidence is indirect.,"Inventory, CRM, e-commerce",Low–Medium
21,Egypt,Lucky — fintech,"$23m Series B; capital for credit expansion, infrastructure, licensing, digital banking, AI and PSP readiness.",https://egyptinnovate.com/en/news/lucky-fintech-raises-23-million-in-series-b-round-to-support-expansion-across-north-africa / 7 Apr 2026,Direct funded expansion and regulatory work.,"Fintech platform, onboarding, risk/AI",**High**
22,Egypt,Disruptech Ventures — investor/fintech,Led Lucky funding round.,Same Egypt Innovate URL / 7 Apr 2026,Named capital provider validates funded technology expansion.,Fintech implementation ecosystem,Medium
23,Egypt,DPI Venture Capital / Nclude — investor,Co-investor in Lucky Series B.,Same Egypt Innovate URL / 7 Apr 2026,Named investor supports funded digital infrastructure.,Fintech implementation ecosystem,Medium
24,Egypt,Canal Suez Bank — banking,Strategic participant in Lucky Series B.,Same Egypt Innovate URL / 7 Apr 2026,Bank partnership plus PSP/regulatory work implies integration and compliance needs.,"Banking APIs, payments, compliance",Medium
25,Egypt,Huawei Cloud Egypt — cloud/AI,Partnered with Thndr to advance AI-powered fintech innovation at 2026 Cairo summit.,"https://english.ahram.org.eg/NewsContent/3/16/570937/Business/Energy/Huawei-Cloud,-Thndr-partner-to-advance-AIpowered-f.aspx / 2026",Named cloud/AI deployment for a fintech customer.,"Cloud, AI, customer intelligence",High
26,Egypt,Thndr — investing/fintech,Entered Huawei Cloud partnership for advanced cloud and AI solutions.,Same Ahram Online URL / 2026,Explicit product/infrastructure adoption.,"Cloud migration, AI, CRM",High
27,Egypt,ElTawkeel.com — automotive e-commerce,"Launched integrated vehicle e-commerce journey: reserve, purchase, finance and insure.",https://www.dailynewsegypt.com/2026/05/17/eltawkeel-com-and-kasrawy-group-launch-egypts-first-fully-integrated-automotive-e-commerce-platform / 17 May 2026,"Direct launch requires booking/reservation, payments and partner integrations.","E-commerce, booking, CRM",High
28,Egypt,Kasrawy Group — automotive,Partner in the integrated vehicle e-commerce platform.,Same Daily News Egypt URL / 17 May 2026,Named enterprise adopting a digital sales channel.,"Dealer inventory, booking, CRM",High
29,Egypt,Converted — ad-tech,Acquired Mitcha to expand AI-driven commerce and launch Converted Orders.,https://www.wamda.com/2026/03/converted-acquires-egypt-mitcha-expand-ai-driven-ecommerce-ecosystem / 2026,"Acquisition and product launch indicate spend on attribution, ads and order systems.","AI commerce, analytics, integrations",Medium
30,Egypt,Mitcha — commerce/marketing tech,Acquired/integrated into Converted; founder to lead regional partnerships.,Same Wamda URL / 2026,Named technology asset in an expansion transaction.,E-commerce/advertising automation,Medium
31,Egypt,Fincart — commerce/fintech,Reported $2.8m raise to expand AI e-commerce platform.,https://thestartupscene.me/INVESTMENTS/Cairos-Fincart-Raises-2-8M-to-Expand-AI-E-Commerce-Platform / 27 Jul 2026,Funding explicitly for AI commerce expansion.,"AI e-commerce, CRM, analytics",Medium
32,Egypt,Telecom Egypt — telecom,Huawei partnership launched FTTR service to improve home internet.,"https://english.ahram.org.eg/NewsContent/3/16/570937/Business/Energy/Huawei-Cloud,-Thndr-partner-to-advance-AIpowered-f.aspx / 2026","Service launch requires provisioning, support and customer operations software.","CRM, service automation, provisioning",Medium
